reviewText,overall
"['final', 'fantasy', 'vii', 'ps1', 'consider', 'good', 'rpgs', 'create', 'say', 'spin', 'quest', 'character', 'try', 'hard', 'hard', 'core', 'end', 'mistaken', 'devil', 'cry', 'clonethe', 'good', 'newsyou', 'customize', 'weapon', 'cause', 'maximum', 'damageit', 'kind', 'neat', 'final', 'fantasy', 'vii', 'character', '3d', 'voicesthe', 'bad', 'newsthis', 'game', 'horribly', 'pace', 'can', 'not', 'game', 'play', 'there', 's', 'cut', 'scene', 'minute', 'fight', 'terribly', 'misplace', 'do', 'not', 'care', 'character', 'want', 'watch', 'game', 'way', 'concern', 'animate', 'movie', 'actual', 'gamethe', 'aim', 'system', 'shoot', 'lock', 'enemy', 'way', 'able', 'fix', 'average', 'gamethe', 'go', 'camera', 'face', 'direction', 'want', 'face', 'immediately', 'give', 'game', 'score', 'I', 've', 'choose', 'iti', 'love', 'final', 'fantasy', 'vii', 'ps1', 'like', 'advent', 'child', 'little', 'bit', 'criminal', 'like', 'franchise']",0
"['review', 'contain', 'minor', 'spoiler', 'write', 'specifically', 'play', 'game', 'interest', 'sequelmax', 'payne', '2', 'person', 'action', 'shooter', 'obviously', 'title', 'sequel', 'remedys', 'max', 'paynebut', 'sequel', 'force', 'remedy', 'rockstar', 'cash', 'success', 'game', 'simply', 'feel', 'obligated', 'title', 'max', 'storyline', 'nearly', 'compelling', 'game', 'unrealistic', 'max', 'payne', 'max', 'payne', '2', 'downright', 'ridiculous', 'part', 'long', 'directly', 'motivated', 'death', 'family', 'fact', 'framed', 'cop', 'game', 'provide', 'reason', 'relative', 'feel', 'gameplay', 'original', 'max', 'apparently', 'authorize', 'kill', 'officially', 'law', 'enforcement', 'officer', 'kill', 'mobster', 'arrest', 'motivation', 'continuation', 'game', 'come', 'mona', 'sax', 'shot', 'game', 'hint', 'survive', 'quickly', 'max', 'falls', 'love', 'mona', 'reason', 'she', 's', 'attractive', 'woman', 'relationship', 'max', 'mona', 'substance', 'time', 'wonder', 'play', 'cut', 'version', 'game', 'do', 'not', 'feature', 'backstory', 'max', 'deal', 'family', 'death', 'year', 'scene', 'actually', 'add', 'depth', 'max', 'monas', 'relationship', 'gang', 'war', 'lot', 'compelling', 'original', 'removal', 'drug', 'element', 'serve', 'reduce', 'mature', 'dark', 'element', 'original', 'replace', 'common', 'theme', 'see', 'modern', 'game', 'language', 'sexual', 'theme', 'game', 'max', 'experience', 'mortal', 'wound', 'recover', 'crush', 'scaffolding', 'getting', 'shoot', 'getting', 'shoot', 'head', 'trap', 'extend', 'period', 'time', 'burn', 'building', 'game', 'lack', 'lot', 'consistency', 'game', 'actor', 'graphic', 'novel', 'panel', 'replace', 'everyone', 'voice', 'actor', 'replace', 'james', 'mccaffery', 'graphic', 'novel', 'panel', 'general', 'effective', 'time', 'aroundpanel', 'multiple', 'multiple', 'time', 'game', 'show', 'sort', 'flashback', 'perspective', 'present', 'ineffectivelyhowever', 'max', 'payne', '2', 'beat', 'max', 'payne', 'term', 'game', 'play', 'graphic', 'bullet', 'time', 'enjoyable', 'time', 'lot', 'weapon', 'bad', 'guy', 'overall', 'recommend', 'game', '2011', 'decide', 'play', 'max', 'payne', 'series', 'enjoy', 'remedys', 'alan', 'wake', 'see', 'max', 'payne', '3', 'horizon', 'you', 're', 'look', 'try', 'classic', 'xbox', 'title', 'recommend', 'max', 'payne', 'max', 'payne', '2', 'additionally', 'enjoy', 'alan', 'wake', 'you', 'll', 'likely', 'enjoy', 'max', 'payne', '1', 'lot', 'max', 'payne', '2', 'similar', 'theme', 'motivate', 'lose', 'wife', 'you', 're', 'look', 'try', 'max', 'payne', 'series', 'preparation', 'max', 'payne', '3', 'recommend', 'give', 'title', 'quick', 'run']",0
"['I', 'm', 'have', 'problem', 'getting', 'disconnect', 'huge', 'waste', 'money', 'thing', 'make', 'angry', 'buy', 'book', 'guide', 'game', 'can', 'not', 'use', 'way', 'money', 'hate']",0
"['play', 'game', 'impress', 'give', '5', 'starsthen', 'give', 'time', 'mess', 'bug', 'glitch', 'etc', 'game', 'fun', 'dice', 'great', 'job', 'release', 'early', 'rush', 'market', 'want', 'money', 'ea', 'ahead', 'do', 'not', 'expect', 'form', 'quality', 'value', 'purchase', 'fact', 'rip', 'offat', 'rate', 'time', 'dollar', 'ea', 'do', 'not', 'care', 'franchise', 'buy', 'dead', 'methere', 'solid', 'reason', 'ea', 'vote', 'bad', 'company', 'consistently', 'play', 'bf4', 'whypremium', '50', 'ultimate', 'insult', 'gamer', 'sap', 'like', 'buy', 'brokenfield', '4', '60', 'broken', 'game', '50', 'break', 'premium', 'experienceif', 'be', 'not', 'wake', 'boycott', 'ea', 'do', 'not', 'know']",0
"['I', 've', 'play', 'game', 'week', 'hope', 'miss', 'well', 'glance', 'like', 'remarkably', 'good', '4x', 'game', 'diversity', 'race', 'play', 'randomized', 'tech', 'tree', 'interesting', 'homeworld', 'style', 'space', 'battle', 'production', 'team', 'problem', 'game', 'unsteady', 'do', 'not', 'obey', 'fundamental', 'principle', '4x', 'gaming', '4x', 'game', 'follow', 'rule', 'planet', 'production', 'populace', 'income', 'well', 'research', 'ship', 'game', 'partially', 'follow', 'rule', 'fine', 'line', 'draw', 'planet', 'hazard', 'colonize', 'literally', 'need', 'break', 'riskreward', 'colonize', 'different', 'planet', 'x', 'number', 'destroyer', 'cruiser', 'ship', 'vs', 'cost', 'own', 'planet', 'time', 'take', 'speed', 'productive', 'interesting', 'tell', 'outright', 'do', 'not', 'leave', 'figure', 'trial', 'error', 'expand', 'economy', 'shut', 'go', 'planet', 'upkeep', 'expand', 'slow', 'outpace', 'player', 'irritatingthe', 'tech', 'tree', 'interesting', 'randomized', 'mean', 'do', 'not', 'know', 'technology', 'count', 'core', 'randomize', 'think', 'cruiser', 'class', 'colony', 'ship', 'core', 'technology', 'allow', 'expand', 'hostile', 'world', 'rapidly', 'be', 'not', 'focus', 'research', 'get', 'find', 'tech', 'be', 'not', 'end', 'pretty', 'screw', 'example', 'difficulty', 'plan', 'effective', 'strategy', 'lot', 'tech', 'weak', 'outright', 'useless', 'exceptionally', 'powerful', 'necessary', 'trial', 'error', 'frustration', 'sort', 'whichthe', 'ai', 'big', 'issue', 'know', 'flounder', 'obviously', 'get', 'resource', 'handicap', 'normal', 'difficulty', 'I', 've', 'play', 'dozen', 'game', 'different', 'game', 'variable', 'different', 'race', 'result', 'rank', 'population', 'colony', 'middle', 'income', 'dead', 'technology', 'I', 've', 'try', 'put', 'cent', 'research', 'liir', 'good', 'researcher', 'game', 'budge', 'tech', 'I', 'm', 'constantly', 'outclass', 'technology', 'race', 'half', 'colony', 'point', 'game', 'ridiculous', 'playing', 'game', 'easy', 'mean', 'plow', 'right', 'easily', 'wipe', 'homeworld', 'attack', 'fleetthis', 'game', 'probably', 'alot', 'fun', 'multiplayer', 'I', 've', 'multiplayer', 'fan', 'fast', 'pace', 'game', 'game', 'take', 'long', 'time', 'learn', 'you', 'll', 'probably', 'pretty', 'irritated', 'step', 'ton', 'minor', 'detail', 'long', 'time', 'figure', 'pretty', 'important', 'especially', 'interface', 'gameplay', 'want', 'like', 'game', 'like', 'pretty', 'interesting', 'fun', 'kind', 'sense']",0
"['browse', 'mix', 'review', 'game', 'pique', 'interest', 'game', 'unquestionably', 'bad', 'glimmer', 'fun', 'hardcore', 'batman', 'fan', 'fan', 'decide', 'rescue', 'copy', 'bargain', 'bin', 'try', 'myselfill', 'absolute', 'shame', 'control', 'camera', 'game', 'suck', 'could', 've', 'groundbreake', 'comic', 'booktovideo', 'game', 'translation', 'production', 'value', 'amazing', 'nicely', 'render', 'model', 'batman', 'major', 'villain', 'like', 'joker', 'mr', 'freeze', 'bucketload', 'less', 'villain', 'support', 'character', 'like', 'black', 'mask', 'killer', 'croc', 'ratcatcher', 'lt', 'montoya', 'cassandra', 'cain', 'batgirl', 'probably', 'time', 'fan', 'character', '3d', 'orchestral', 'soundtrack', 'unlock', 'listen', 'gallery', 'production', 'art', 'voice', 'act', 'suprisingly', 'strong', 'consider', 'fan', 'superb', 'voiceacting', 'animate', 'show', 'ingame', 'graphic', 'nicely', 'detailed', 'way', 'celshade', 'vengeance', 'sin', 'tzu', 'batman', 'games', 'can', 'not', 'hope', 'matchhowever', 'play', 'game', 'like', 'perform', 'masochistic', 'ritual', 'camera', 'fix', 'like', 'resident', 'evil', 'cut', 'different', 'angle', 'single', 'room', 'screw', 'player', 'sense', 'direction', 'control', 'find', 'black', 'mask', 'warehouse', 'stage', 'gun', 'horribly', 'frustrating', 'poor', 'implementation', 'stealth', 'bit', 'realism', 'enemy', 'gang', 'kick', 'you', 're', 'force', 'find', 'creative', 'way', 'fight', 'seperately', 'ask', 'lean', 'crate', 'knock', 'enemy', 'batarang', 'disable', 'handcuff', 'time', 'toss', 'batarang', 'press', 'button', 'unstick', 'wall', 'maneuver', 'camera', 'angle', 'find', 'bad', 'guy', 'take', 'hell', 'foot', 'sound', 'alarm', 'fun', 'stealth', 'experience', 'completely', 'ruin', 'poor', 'programmingif', 'kemco', 'bit', 'polish', 'game', 'could', 've', 'well', 'batman', 'dark', 'tomorrow', 'playable', 'way', 'make', 'scream', 'frustration', 'step', 'way', 'you', 're', 'batman', 'fan', 'invite', 'come', 'experience', 'pleasure', 'pain', 'you', 're', 'there', 's', 'reason', 'near', 'game']",0
"['can', 'not', 'believe', 'game', 'compete', 'world', 'warcraft', 'userinterface', 'rough', 'hard', 'navigate', 'you', 're', 'world', 'v', 'world', 'v', 'world', 'concept', 'fun', 'games', 'pvp', 'combat', 'general', 'unbelievably', 'unbalanced', 'unorganized', 'play', 'world', 'v', 'world', 'v', 'world', 'there', 's', 'rarely', 'battle', 'event', 'go', 'begin', '34free', 'play34', 'game', 'require', 'play', 'plenty', 'open', 'special', 'chest', 'find', 'xp', 'boost', 'consumable', 'etc', 'scam', 'I', 'm', 'honestly', 'dissapointed', 'regret', 'buy', 'especially', 'amazon', 'refund', 'buy', 'site']",0
"['think', 'pay', '60', 'would', 'not', 'pay', 'additional', '2', 'time', 'wanna', 'dunk', 'new', 'vital', 'currency', 'that', 's', 'exactly', 'happen', 'pay', 'vc', 'edit', 'lineup', 'ridiculous', 'definitely', 'outweigh', 'graphic', 'hope', '2k', 'change', 'patch']",0
"['advantage', 'purchasing', 'cd', 'set', 'come', 'manual', 'playbook', 'anoxexe', 'encounter', 'problem', 'need', 'close', 'error', 'download', 'digital', 'version', 'gog', 'play', 'digital', 'version', 'find', 'ok', 'walk', 'talk', 'people', 'like', 'game', 'like', 'prefer', 'strategy', 'game', 'like', 'starcraft', 'warcraft', 'homeworld', 'good', 'alsowith', 'homeworld', 'system', 'standby', 'come', 'standby', 'pick', 'leave', 'stable', 'homeworld', 'gameplay', 'flawless', 'game', 'play', 'classic', 'starseige', 'tribe', 'need', 'download', 'update', 'play', 'original', 'server', 'long', 'upi', 'love', 'stability', 'homeworld', 'play', 'perfectly', 'boxi', 'can', 'not', 'arachronox', 'constantly', 'give', 'anoxexe', 'encounter', 'problem', 'need', 'close', 'could', 'not', 'find', 'patch', 'download', 'gog', 'version', 'play', 'wellxeno', 'clash', 'instal', 'steam', 'stoppedmirror', 'edge', 'would', 'not', 'run', 'internet', 'connectionabout', 'gamei', 'get', 'play', 'arachronox', 'encounter', 'problem', 'gameplay', 'horrible', 'starseige', 'homeworld', 'starcraft', 'update', 'I', 've', 'run', 'gog', 'version', 'game', 'stable']",0
"['lucasart', 'make', 'great', 'game', 'combine', 'nice', 'strategymission', 'run', 'park', 'wsimple', 'add', 'marketing', 'training', 'staff', 'building', 'stall', 'ride', 'game', 'customer', 'happy', 'simply', '10', 'year', 'able', 'figure', 'dislike', 'type', 'game', 'find', 'enjoy', 'nice', 'story', 'run', 'park', 'sabotage', 'rival', 'theme', 'park', 'owner', 'etc', 'find', 'way', 'park', 'transport', 'immediately', 'game', 'ride', 'person', 'instantly', 'easy', 'sound', 'help', 'immerse', 'game', 'there', 's', 'real', 'voice', 'act', 'interaction', 'ffw', 'there', 's', 'real', 'song', 'menu', 'cheer', 'leading', 'game', 'etc', 'doc', 'brown', 'like', 'character', 'park', 'owner', 'nice', 'touchfreeze', 'main', 'gamei', 'freezing', 'issue', 'happen', 'hour', 'straight', 'play', 'happen', 'partymini', 'game', 'section', 'main', 'adventure', 'area', 'save', 'win', 'game', 'mission', 'annoying', 'game', 'find', 'let', 'downmini', 'gamesthese', 'collection', 'midway', 'arcade', 'game', 'choose', 'player', 'level', 'difficulty', 'level', 'length', 'play1', 'alley', 'ball', 'skeet', 'ball2', 'antigrav', 'racer', 'racing', 'hovercraft3', 'auto', 'sprint', 'classic', 'racing4', 'auto', 'sprint', '2', 'protect', 'bunche', 'thief', 'above5', 'bandito', 'chinchilla', 'old', 'arcade', 'scroll', 'fighting6', 'black', 'beard', 'booty', 'target', 'shoot', 'gallery7', 'buck', 'bull', 'tilt', 'wii', 'head', 'center', 'balance', 'bull8', 'bumper', 'car', 'tilt', 'usual', 'wii', 'controls9', 'coaster', 'tron', 'roller', 'coaster', 'guy', 'tilt', 'ring', 'trouble', 'figure', 'out10', 'coconut', 'shy', 'sim', 'throw', 'ball', 'knock', 'coconuts11', 'dune', 'buggy', 'race', 'dune', 'buggies12', 'entertainer', 'shake', 'nunchuck', 'remote', 'like', 'pom', 'pom', 'beat', 'real', 'music', 'train', 'cheerleader13', 'entertainer', 'turbo', 'thing', 'music', 'speed', 'up14', 'event', 'horizon', 'classic', 'size', 'scroll', 'space', 'shooter15', 'event', 'horizon', 'ii', 'scroll', 'space', 'shooter', 'well', 'graphics16', 'formula', 'thrill', 'racing17', 'ghoul', 'gunner', 'target', 'shoot', 'cemetery18', 'gokart', 'race', 'karts19', 'ground', 'keeper', 'suck', 'trash', 'wash', 'vomit', 'train', 'groundskeeper20', 'haunting', 'person', 'shooter', 'wpumpkin', 'guy', 'cemetery', 'control', 'bit', 'dealable21', 'luftwaffe', '109', '1942', 'vertical', 'scroll', 'plane', 'shooter22', 'luftwaffe', '109', 'turbo', 'turbo', 'speed', 'fly', '194223', 'luftwaffe', '109', 'ii', 'weapon', 'etc', '194224', 'mechanic', 'connect', 'circuit', 'board', 'puzzle', 'easy', 'fun', 'train', 'mechanic25', 'mini', 'golf', '5', 'different', 'theme', 'simple', 'style26', 'mini', 'golf', 'speed', 'mini', 'golf', 'timer27', 'monster', 'truck', 'race', 'truck', 'outdoors28', 'pirate', 'raider', 'fps', 'wpirate', 'theme29', 'pool', '8', '9', 'ball', 'control', 'frustrating30', 'pool', 'speed', 'thing', 'faster31', 'prospector', 'stakeout', 'shoot', 'target', 'gallery32', 'rc', 'war', 'race', 'wrc', 'little', 'trucks33', 'robo', 'ko', 'sim', 'boxing', 'wrobots34', 'robot', 'invasion', 'fps', 'wrobot', 'alien', 'world35', 'saucer', 'soccer', 'hovercraft', '2', 'vs', '2', 'soccer36', 'saucer', 'sumo', 'hovercraft', 'push', 'play', 'area37', 'sparkle', 'island', 'classic', 'shooting', 'collect', 'little', 'chick', 'similar', 'bubble', 'bobble38', 'sparkle', 'island', '2', 'well', 'graphics39', 'sparkle', 'island', 'quest', 'simplify', 'super', 'mario40', 'splatamole', 'use', 'gesture', 'button41', 'squadron', 'ace', '3d', 'wwii', 'plane', 'fighter', 'real', 'plane', 'like', 'movements42', 'star', 'sniper', 'shooting', 'target', 'gallery43', 'stunt', 'rider', 'scroller', '2d', 'guy', 'bike', 'wrag', 'doll', 'physics44', 'tank', 'frenzy', 'tank', 'shoot', 'arcade', 'groundair', 'opponents45', 'test', 'strength', 'timing', 'angle', 'center', 'target46', 'trampoline', 'bounce', 'time', 'hit', 'button', 'tricks47', 'trojan', 'quest', 'classic', '2d', 'view', 'arcade', 'fighter48', 'trojan', 'frenzy', 'thing', 'faster49', 'vendor', 'tender', 'puzzle', 'bobblebustamove', 'arcade', 'wcoin', 'instead', 'fall', 'off50', 'wild', 'frontier', 'fps', 'wpumpkin', 'guys', 'wild', 'west', 'townif', 'mini', 'gamesparty', 'unlock', 'do', 'not', 'want', 'deal', 'wthe', 'mission', 'main', 'area', 'cheat', 'code', 'gamefaqs', 'com', 'game', 'site', 'like', 'ign', 'com']",1
